tourney_id,mean_chip_ev,n_observations
17,26.154244059659845,22578
18,34.01370751483424,109645
19,39.9283077194897,189772
20,49.56274938821581,290457
21,58.60571735355809,340309
22,134.06881982909093,275
47,34.865690937476714,18793
178,26.01194543285239,1802
179,44.52058728107458,2494
180,33.958062860740434,72390
181,47.7039557648851,54484
182,64.0515826290762,49924
183,69.61389550324165,10180
185,-619.752383,1
219,-17.62392763461538,52
298,67.44999840311479,63054
331,33.489186788808176,3717
332,31.16565957277808,232254
333,25.329010826036846,968366
334,19.879930879245283,589360
335,13.80819586732099,335818
336,14.567673311951555,429852
337,14.265451075311445,76177
338,15.801630768722982,77258
353,52.86820996313364,1736
354,27.585892479505027,6465
355,19.664328544540314,263907
357,18.323967329965335,101544
358,16.87505586239604,145490
359,11.582963315486877,49571
360,13.595187011305002,17249
405,-18.498942485507246,138
406,-9.935482666666664,3
425,-0.8969277396907208,388
427,36.107783088829585,5246
457,40.923211517746594,4846
458,14.360777035627766,23942
478,21.2792283184708,11797
479,21.55359438026487,28467
480,18.963647057099465,70456
481,16.66921020386453,165350
482,12.444714591300759,300463
483,7.7017812013273925,264127
484,9.753873290997824,215359
485,4.435316697429727,201107
548,80.980062,5
549,37.69715424425375,3263
563,17.445805474824105,16345
564,25.59902242163633,43732
565,29.845200912596436,77125
566,30.53281249214192,160090
567,35.89135547320582,292209
568,38.53369101471209,393486
569,52.14379561963114,113432
570,47.44684029101781,30438
573,26.485003282296653,836
575,22.629665869181625,6574
576,36.037503731408364,46096
577,38.290034066569945,23434
578,48.3203825656944,59792
579,54.35470817142492,46901
580,87.80422828428863,7816
581,179.95566321428572,14
582,18.757639422140628,27235
583,30.801430134008612,45512
584,28.644945076584442,151741
585,35.79421211531056,208255
586,37.5248767250245,263358
587,47.75285471994782,85859
588,50.424160851996106,1027
589,57.91495624694376,1227
590,22.751563306917326,9628
591,32.53833110186887,122962
592,28.733989156876227,180346
593,32.50175435837158,92605
594,42.591333959648956,81584
595,57.10384472154835,5606
596,93.07185237192343,1097
597,-112.16241400000001,5
609,28.947795364621953,21307
611,15.25850350229764,326422
612,10.744687340295057,51041
638,39.16281297325975,121951
639,32.05772995538732,66573
641,28.776327460465176,76186
654,-83.92977160000001,5
655,108.17350855555556,9
656,35.341042291192224,69995
657,27.452309789962495,187457
658,21.416752571164558,77918
659,16.469715330822176,76857
660,18.251081613079684,57402
661,10.23963515755329,1079
662,81.13039199999997,2
663,73.77552696165192,678
664,67.44030499008974,257410
665,47.79187329227541,537582
666,40.12506642242111,715736
667,35.91100556623958,520029
668,30.945385157893853,238920
669,30.94983618178045,91561
672,19.4433247735446,132472
673,12.958881279264324,308396
674,-22.39852513095238,84
677,33.30174730588497,17961
678,23.519744655630113,74812
679,26.442012056219294,235702
680,17.93505134432931,386020
681,13.194566452604025,365991
682,11.684278753082488,144445
683,10.422101740604814,136240
684,13.87047639036822,20993
685,14.688123001034663,1933
686,7.916002886768448,786
695,-58.318751666666664,3
696,26.304199500000003,2
697,-74.608265,1
