tourney_id,Stack,mean_chip_ev,median_chip_ev,std_chip_ev,n_observations
17,500.0,26.154244059659845,-19.113669,375.74092726836307,22578
18,500.0,34.01370751483424,-15.210885,388.4197427810866,109645
19,500.0,39.9283077194897,-10.413581,388.65821860614295,189772
20,500.0,49.56274938821581,-0.24503,396.1092441335311,290457
21,500.0,58.60571735355809,10.180553,389.6768729278743,340309
22,500.0,134.06881982909093,93.625888,409.19788324711755,275
47,500.0,34.865690937476714,-17.109091,405.7809305331752,18793
178,500.0,26.01194543285239,-32.088835,415.38292354788297,1802
179,500.0,44.52058728107458,-4.290554,409.9464767870128,2494
180,500.0,33.958062860740434,-26.728399500000002,418.2940464360002,72390
181,500.0,47.7039557648851,-7.799847,409.1352680244709,54484
182,500.0,64.0515826290762,3.0773025,417.44226126000615,49924
183,500.0,69.61389550324165,21.155919,417.67809544408817,10180
185,500.0,-619.752383,-619.752383,,1
219,500.0,-17.62392763461538,-49.344217,382.1706872703309,52
298,500.0,67.44999840311479,23.537937499999998,380.3213065972008,63054
331,300.0,33.489186788808176,12.832744,193.16916340245913,3717
332,300.0,31.16565957277808,14.353686,190.50977111596407,232254
333,300.0,25.329010826036846,6.2752145,196.03553951638403,968366
334,300.0,19.879930879245283,1.5862634999999998,197.17349012713893,589360
335,300.0,13.80819586732099,-4.3099825,192.54974831487704,335818
336,300.0,14.567673311951555,-4.25602,195.9854304829615,429852
337,300.0,14.265451075311445,-5.285748,204.15708346120923,76177
338,300.0,15.801630768722982,-3.292346,202.61120954475197,77258
353,300.0,52.86820996313364,27.093045,209.89308466373367,1736
354,300.0,27.585892479505027,10.873189,195.87233677522883,6465
355,300.0,19.664328544540314,0.94697,194.23845999858653,263907
357,300.0,18.323967329965335,1.1788895,187.30726825567754,101544
358,300.0,16.87505586239604,-2.2517639999999997,193.40787685901233,145490
359,300.0,11.582963315486877,-6.604972,189.9883193762871,49571
360,300.0,13.595187011305002,-6.646776,192.35201518608196,17249
405,300.0,-18.498942485507246,-27.553304,182.71365782364126,138
406,300.0,-9.935482666666664,-37.774718,187.12955378443604,3
425,300.0,-0.8969277396907208,-10.784650500000001,181.70379137674126,388
427,300.0,36.107783088829585,21.3691045,200.20038366248346,5246
457,500.0,40.923211517746594,-10.109561,400.69913764441344,4846
458,300.0,14.360777035627766,-4.342549,201.18415690136433,23942
478,300.0,19.838155835482684,1.012919,207.2698566149743,10856
478,500.0,37.90439609245483,0.844243,410.3968217625737,941
479,300.0,19.392997119477265,-1.012355,199.0182549907089,26323
479,500.0,47.20378093834657,-18.670173,401.6470757584834,2141
479,800.0,673.6710193333333,617.959321,393.13427948956775,3
480,300.0,17.72360550385182,-2.9332599999999998,196.53821241665958,65164
480,500.0,34.669509010598034,-22.696243000000003,397.30114554118495,5284
480,800.0,-253.99970125,-321.778825,646.882581035542,8
481,300.0,15.108307485182909,-5.972943,205.0862732354678,152864
481,500.0,35.68579344122835,-22.652397,418.2816997294791,12472
481,800.0,118.88399964285712,-170.449045,843.6415144093817,14
482,300.0,11.589490249662992,-7.985241,199.0523175786825,278183
